generation,fitness,num_ips,triggered_techniques,num_vulns
0,0.3334186402038989,34,4,4
0,0.28819876091699836,25,6,5
0,0.4090905916255196,32,2,3
0,0.2773252738694421,58,9,12
0,0.25987858517457135,52,8,12
0,0.2786913797366483,60,9,13
0,0.27625094811933454,62,7,12
0,0.2569169577243171,54,7,10
0,0.19990422588087403,24,3,6
0,0.2719638125569279,28,3,4
1,0.04785256626696602,8,2,5
1,0.18807648833129964,27,4,7
1,0.33171530011617745,21,2,3
1,0.25601957667928105,55,8,11
1,0.3262306379874449,58,3,5
1,0.2036392395097736,8,4,4
1,0.3771774197078352,32,1,3
1,0.25405121533506736,30,3,5
1,0.2807503417266088,63,9,13
1,0.2692227692133821,65,8,13
2,0.2678297582709418,50,7,10
2,0.3439462723659654,24,5,4
2,0.28774133178769046,31,3,5
2,0.24001538810322012,10,2,2
2,0.25963288597324574,61,6,10
2,0.08452275441570016,9,0,1
2,0.2628666024496195,62,6,11
2,0.26049580244340265,51,4,7
2,0.37854324396466826,22,2,2
2,0.19470707271573,28,6,8
3,0.26860783968299085,63,8,10
3,0.4232194702009543,24,2,2
3,0.2134712609714302,26,6,10
3,0.25526775147675573,55,6,10
3,0.33568546900324514,29,2,4
3,0.24928818872216102,53,6,12
3,0.17570964073042616,6,2,3
3,0.20431448015927256,26,3,7
3,0.25422358765374303,53,8,13
3,0.25816530264851895,50,8,13
4,0.27072048935937454,65,4,7
4,0.2596873493986091,60,8,11
4,0.3771774197078352,32,1,3
4,0.24519285868716506,52,6,12
4,0.4473637240662322,35,1,1
4,0.2534855284688203,52,8,12
4,0.27456804714347055,63,7,11
4,0.44491238235525693,33,1,1
4,0.3464305281033242,31,4,4
4,0.2672462394701923,61,8,10
5,0.4192907148385851,33,3,3
5,0.2133065572264618,33,5,9
5,0.2297071489726007,24,5,6
5,0.27506026183877325,64,7,12
5,0.4455428636934446,21,3,2
5,0.25924111425170465,64,6,8
5,0.353068352259129,34,2,4
5,0.2928998120534415,64,6,6
5,0.22072609412604138,21,4,6
5,0.258805750140702,59,8,12
6,0.22780239257667834,30,7,7
6,0.2679324429789566,62,8,10
6,0.2688382722227998,52,7,12
6,0.2535268595929496,50,3,7
6,0.2599218275183928,55,6,8
6,0.2579007925331874,62,6,8
6,0.2671512391757477,20,5,5
6,0.265652127870921,57,8,9
6,0.2621599077041707,58,6,8
6,0.26460114236858473,62,6,9
7,0.2687537264830353,55,6,7
7,0.3404982780221002,26,2,3
7,0.25571401478092154,59,6,9
7,0.3885668346546203,28,2,3
7,0.37013098689396096,27,1,3
7,0.4436320841655637,32,1,1
7,0.25200854292829206,50,8,11
7,0.17570964073042616,6,2,3
7,0.2629354146995439,56,8,13
7,0.3752017342560341,23,3,3
8,0.2800749450225745,62,9,13
8,0.30226532912983717,61,8,6
8,0.28266662058337283,7,2,1
8,0.203340253028641,23,7,10
8,0.2584670526074137,60,6,11
8,0.3532409059008765,21,1,2
8,0.2654903480129041,51,7,12
8,0.24848654287089428,52,6,12
8,0.3335581079766773,29,5,4
8,0.3637500436601516,35,5,4
9,0.40345707060795644,31,3,3
9,0.2728139325389251,58,7,9
9,0.22782387929948694,22,4,6
9,0.32290255533325596,23,4,4
9,0.2726622691260398,52,9,13
9,0.36695273279186325,25,1,3
9,0.2210291748889504,33,6,9
9,0.2539556898378418,35,3,5
9,0.2722686678034536,59,7,10
9,0.27693988587408436,6,2,1
10,0.2555583581881216,56,6,11
10,0.2567727060436793,57,6,10
10,0.27506026183877325,64,7,12
10,0.3276603305209952,60,3,5
10,0.27572837559151475,55,9,10
10,0.25591079376740394,50,6,8
10,0.2680417425712832,59,5,10
10,0.23796861659234608,50,4,12
10,0.2827587397037534,64,8,7
10,0.29835416369793455,62,6,6
11,0.27431443756359714,54,9,12
11,0.17288874643491248,21,3,7
11,0.26575362350496756,9,1,1
11,0.2347914010042384,33,4,6
11,0.25540677122071914,6,2,2
11,0.20444979601271823,24,7,12
11,0.25406940146079066,54,4,8
11,0.22584759481263783,26,3,6
11,0.26592274649881087,31,4,5
11,0.25608286208517134,53,6,12
12,0.2783289945609793,61,7,8
12,0.2695621423710146,25,2,4
